image_id,cell_id,x,y,width,height,area,mean,std,min,max
17,12,161,173,135,45,4312,80.89146567717997,15.047090630476438,6.0,151.0
18,1,27,13,140,43,4696,67.4559199318569,35.11934773108153,1.0,196.0
18,2,159,14,136,41,4375,59.7392,25.4281887550018,0.0,173.0
18,3,27,49,139,37,4061,63.5661167200197,25.373038066792486,25.0,201.0
18,4,159,48,136,39,3976,52.445422535211264,10.628822625056108,7.0,82.0
18,5,26,80,140,38,4234,58.487482286254135,19.248798872778504,18.0,174.0
18,6,160,79,134,39,4081,49.03896103896104,11.687392759760536,12.0,90.0
18,7,25,110,140,41,4266,61.74378809188936,24.893278824022154,21.0,211.0
18,8,156,111,139,40,4238,51.986550259556395,10.95572445743149,5.0,89.0
18,9,24,144,140,40,4337,56.8337560525709,25.868787665111054,19.0,224.0
18,10,157,143,138,41,4270,50.924590163934425,12.122479148683018,9.0,106.0
18,11,25,176,139,40,4301,51.71727505231342,27.335729087391705,7.0,224.0
18,12,156,175,140,41,4374,47.934385002286234,15.470270089080339,2.0,133.0
19,1,25,13,139,44,4685,98.89178228388474,33.12208951751023,0.0,220.0
19,2,156,10,136,45,4492,94.86420302760463,29.983110279188665,0.0,214.0
19,3,24,49,140,39,4159,97.14546766049531,25.759877508791636,19.0,221.0
19,4,157,43,137,45,4151,99.99397735485425,16.98417681164245,37.0,176.0
19,5,24,81,140,40,4345,101.78204833141542,19.271654983234598,12.0,203.0
19,6,157,74,138,47,4484,102.24152542372882,13.553849287228877,19.0,163.0
19,7,25,114,139,41,4438,110.52658855340243,20.527915256202164,15.0,201.0
19,8,157,110,138,45,4446,110.97323436797122,18.143761730104394,10.0,177.0
19,9,25,147,140,40,4229,117.4417119886498,20.51246316152098,25.0,222.0
19,10,158,144,138,43,4214,109.93640246796393,15.439372341095966,64.0,175.0
19,11,26,179,139,37,3821,112.75399110180581,21.66929688617981,8.0,225.0
19,12,158,176,140,39,3997,97.20115086314736,19.657680101342898,3.0,169.0
20,1,24,13,145,43,4681,97.36637470625935,36.36986489822265,1.0,238.0
20,2,159,11,133,45,4240,94.98985849056604,28.667525526129662,0.0,199.0
20,3,25,49,144,38,4163,94.9341820802306,27.66086948507197,30.0,233.0
20,4,161,42,132,43,3712,90.50026939655173,13.183837738444462,9.0,158.0
20,5,25,79,146,41,4567,105.35625136851324,25.224645945743553,19.0,221.0
20,6,163,73,131,46,4180,100.52966507177034,13.829457858951379,39.0,155.0
20,7,25,112,148,41,4746,117.03666245259166,23.6543608347572,19.0,246.0
20,8,165,108,130,45,4193,106.73360362508943,17.901321022747513,8.0,165.0
20,9,27,146,145,40,4541,117.87733979299713,24.29445132486236,23.0,235.0
20,10,166,141,130,45,4059,108.17270263611726,13.949632547204974,23.0,160.0
20,11,28,179,144,38,4078,116.84992643452672,23.76287836469035,5.0,232.0
20,12,165,174,133,41,3909,94.92453312867741,20.60781901293611,7.0,159.0
21,1,27,2,141,48,5306,135.81530343007915,42.163805184684094,0.0,238.0
21,2,161,0,134,51,5631,163.67146155212217,46.14175613652682,0.0,246.0
21,3,26,42,143,46,5157,146.98138452588714,24.844258786895843,11.0,210.0
21,4,162,44,135,48,4980,160.21947791164658,28.60873399456188,33.0,225.0
21,5,27,80,143,50,5336,157.1551724137931,27.763712785017677,16.0,237.0
21,6,162,83,137,47,5033,161.89191337174648,30.00690430145787,25.0,238.0
21,7,28,119,142,52,5246,160.91555470834922,32.28951190786493,2.0,226.0
21,8,162,122,137,48,5062,172.50572896088502,22.17767650178454,66.0,230.0
21,9,29,156,142,49,4914,155.80809930809932,37.44496446502036,1.0,237.0
21,10,164,158,135,49,4477,172.8780433325888,28.903671905914663,38.0,241.0
21,11,30,193,142,31,2851,129.51806383725008,42.3833030486128,3.0,197.0
21,12,165,192,131,30,2137,135.6326626111371,52.782620046872566,0.0,233.0
22,1,23,11,151,53,6255,101.6951239008793,36.28856635589374,0.0,210.0
22,2,166,17,141,50,5355,166.29598506069095,38.65819926529021,2.0,244.0
22,3,23,56,152,43,5051,132.674717877648,18.667407342910593,8.0,180.0
22,4,166,58,141,45,4781,152.8174022171094,20.282689429942753,8.0,194.0
22,5,24,92,149,44,5016,156.8488835725678,26.58281818838109,22.0,234.0
22,6,166,95,137,39,3988,183.7670511534604,26.29542728534274,63.0,240.0
22,7,26,126,145,44,4740,175.67341772151897,21.55126578870835,43.0,222.0
22,8,164,123,138,48,4533,197.12750937568939,20.19040349933314,75.0,246.0
22,9,27,160,143,39,4027,179.53662776260242,24.07012841775951,50.0,243.0
22,10,164,153,136,45,3386,172.52658003544005,25.19490537549871,23.0,245.0
22,11,29,191,142,31,2773,170.96501983411468,47.72653048187105,2.0,248.0
22,12,163,183,135,32,2589,132.0421011973735,50.179163019140354,0.0,231.0
